,url,title,description,cat1,cat2,cat3
56,https://www.tourisme-cambresis.fr/bon-utile-toxique.html,"Le bon, l'utile et le toxique","Bons ou mauvais, côté champignons, il n'est pas question de saveurs, mais d'utilité ! Chaque spécimen a un rôle à jouer, découvrez-les en compagnie de Jean-Baptiste, pharmacien-mycologue.

 

Gratuit. Inscription obligatoire sur le site du département.",Atelier,Gastronomie,Santé
113,https://www.tourisme-cambresis.fr/1-puces-couturieres-fils-folie.html,"Puces de couturières ""Fils en folie""","Les puces de couturières cambrésiennes rebaptisées ""Fils en folie"" feront leur traditionnelle expo-vente de travaux d'aiguilles les 28 et 29 octobre 2023 à la salle des cérémonies de l'Hôtel de Ville.

 

Entrée gratuite.

Petite restauration sur place.",Exposition,Art,
57,https://www.tourisme-cambresis.fr/hypnose-cinema.html,Hypnose au cinéma du Cateau,"Hypnose au Cinéma Le Select à Le Cateau-Cambresis (59) !
Déjà plus de 10.000 spectateurs !

Réservez votre samedi 28 octobre 2023 et venez vivre une expérience en live incroyable : un spectacle d'hypnose dans le confort d'une salle de cinéma !

Alex vous proposera de découvrir ou redécouvrir l'univers fascinant de l'hypnose avec son dernier spectacle. Il vous fera voyager dans votre imagination et vous fera vivre des expériences incroyables !

Et tout cela avec humour, respect et bienveillance.

Que vous ayez déjà vécu l'expérience, que vous soyez impatient d'explorer ce monde incroyable ou que vous soyez sceptiques, venez découvrir et participer à un spectacle fascinant et drôle.

Venez vivre une expérience incroyable dont vous vous souviendrez longtemps.

 

SND présente Alex Hypnotiseur dans ""Hypnose au Cinéma""
Tarif : 12€ + frais de réservation
Infos et Réservations : sur les sites de ventes habituels.
https://www.billetreduc.com/325149/evt.htm",Spectacle,Détente,
115,https://www.tourisme-cambresis.fr/academie-sorciers-coffre-secrets.html,L'Académie des Sorciers et le coffre des secrets,"Le Dimanche 29 Octobre aura lieu un spectacle nommé ""L'Académie des sorciers et le coffre des secrets"" au Théâtre de Caudry !

 

Billets en vente au Café Le Jubilé à Caudry ou rendez-vous sur ce site pour la billetterie en ligne : www.helloasso.com",Spectacle,Famille,
58,https://www.tourisme-cambresis.fr/peur-sur-moulin-brunet.html,Halloween au Moulin Brunet,Peur sur le moulin Brunet ce lundi 31 octobre de 15h à 22h !,Fête,Famille,
117,https://www.tourisme-cambresis.fr/conference-clinique-saint-roch.html,Conférence clinique Saint-Roch,"Accueil : Dr Joël CLICHE

Les grands enjeux de la santé environnementale : Monsieur Olivier TOMA

Présentation du PRSE 4 : Agence Régionale de la Santé des Hauts-de-France

Table ronde des actions exemplaires en région.

Conclusion : Mr Guy BRICOUT - député - Membre de la commission Développement Durable de l'assemblée nationale

 

Inscirptions ici",Atelier,Santé,
59,https://www.tourisme-cambresis.fr/visite-guidee-les-grandes-dates-musee-matisse.html,"Visite guidée ""Les Grandes dates du Musée Matisse""","De l'installation des oeuvres d'Henri Matisse - natif du Cateau-Cambrésis - dans l'Hôtel de Ville en 1952 jusqu'à son agrandissement et sa réouverture prévue en juin 2024, revivez les grandes dates qui ont marqué le Musée Matisse à travers un circuit pédestre.

 

Rendez-vous devant le Beffroi - Place du Général de Gaulle - 59360 Le Cateau-Cambrésis

Réservation obligatoire au 03 27 84 10 94 ou sur la billetterie en ligne",Balade,Culture,Art
119,https://www.tourisme-cambresis.fr/pouvoir-mots.html,Le pouvoir des mots,"""Mon sujet, c’est la guerre, et ce qu'elle a de pitoyable.""

Wilfred Owen a écrit des textes poignants sur les ravages de la guerre… Le temps d'une randonnée, écoutez ses poèmes émouvants.

 

Gratuit.

Inscription obligatoire sur le site du département en cliquant ici.",Spectacle,Histoire,
60,https://www.tourisme-cambresis.fr/les-dentelles-electroniques-private.html,Les Dentelles Électroniques : La Fontaine,"Venez danser autour de la Fontaine le samedi 4 novembre 2023 à la Base de Loisirs du Val du Riot de Caudry.

 

Au programme :

- Laurent Top (La Bush)

- Steven (La Bush)

- DJ Georges (La Bush)

- Phi Phi (Extreme)

- Greg All (LDE / La Fontaine)

- Hoff Man (Vamos Club)

- Francesco Marra (Le Cube)

- Spud (Time Club)

 

100% retro House - Big Stage and sound - Foodtruck - Parking Sécurisé - Show

Places limitées !

Billetterie en ligne",Festival,Concert,
121,https://www.tourisme-cambresis.fr/pascal-pantegnies-choeur-amat-academy-concert.html,Pascal Pantegnies en concert,"Le concert pour le vingtième anniversaire d AMAT ACADEMY aura lieu le Vendredi 11 Novembre 2023 à 17h .

Programme de variétés Françaises, beaucoup de nouveautés et reprise des meilleurs moments des vingt années : Compagnie Créole, Bruel, Sardou, Lama, Hallyday, Celine Dion, Mireille Mathieu, Goldman, Candice Paris, Chimene Badi, Marie Myriam...

Un spectacle complet son lumière show Lazer vidéo....

Tarif unique : 10 € . Réservation à partir du 1 Mai 2023.",Concert,,
61,https://www.tourisme-cambresis.fr/squad-lights-the-dark.html,E.L. SQUAD | Lights in the dark,"LIGHTS in the DARK est un spectacle unique au monde de la troupe E.L Squad (E.L comme Electro-Luminiscence).

Dirigée par le chorégraphe Yokoi, référence mondiale de la scène hip-hop, elle vous fera découvrir une technologie qui permet à des danseurs évoluant dans une obscurité totale de créer des effets fantasmagoriques et lumineux extraordinaires.

Dans la plus pure tradition des mangas, LIGHTS in the DARK mêle les personnages, les époques et les lieux dans un tourbillon de sons et d’images inoubliables.

Suivez le voyage initiatique du «Mysterious Man » et sa quête d’équilibre, en proie aux forces et aux émotions qui nous traversent.
 

Production ; les 2 Belges Productions, La Tribu, La Française de Théâtre, en accord avec Opus Et Wizarts",Spectacle,Danse,
123,https://www.tourisme-cambresis.fr/johnny-story.html,JOHNNY STORY,"L'AS jubilé, Le Jubilé et Mille et une fenêtres organisent un week-end concert de JOHNNY STORY les 17 et 18 novembre 2023 ! Les billets sont en vente au café Le Jubilé. Les profits seront versés à l'association ""Choisir l'Espoir"", de quoi allier plaisir et bonne cause !",Concert,,
62,https://www.tourisme-cambresis.fr/selectionne-avec-amir-haddad.html,SÉLECTIONNÉ | Avec Amir Haddad,"Alfred Nakache fait partie de ces héros des temps modernes dont l’histoire est méconnue.

Gamin de Constantine, toulousain d’adoption, il est le meilleur nageur français des années 1940. Arrêté par la gestapo puis déporté, il a nagé dans les bassins insalubres du camp d’Auschwitz dont sa femme et sa fille ne sont jamais revenues.

En leur mémoire, ce survivant de l’horreur s’est relevé et a repris la compétition jusqu’à récupérer son titre de Champion de France et représenter à nouveau son pays aux Jeux Olympiques.

 

Auteur : Marc Élya assisté de Jessica Duclos

Production : Richard Caillat – Arts Live Entertainment – Fimalac Culture, en accord avec Play Two Live",Théatre,,
125,https://www.tourisme-cambresis.fr/bienvenue-clos-de-gattigny.html,Bienvenue au Clos du Bois de Gattigny,"Pousser la porte... d'un hébergement de caractère du Cambrésis, le visiter en compagnie de ses propriétaires, se voir livrer l'histoire du lieu et de vos hôtes en toute convivialité...Y avez vous déjà songé ?

Découvrez le Clos du Bois de Gattigny dans son écrin verdoyant de 10 000m² en compagnie de Céline, maîtresse de ce domaine.

Cet ancien relais de chasse est l'endroit rêvé pour tous vos événements (marché de Noël, anniversaires, Festival de courts métrages...), il vous séduira par l'authenticité de son architecture et de ses équipements.

Le Clos dispose d'une salle de réception, d'une salle de réunion, de plusieurs types d'hébergements et d'un parking privé.

 

Durée : 1h à 1h30 - Réservation obligatoire.

 

Pour connaître tous les événements du Clos du Bois de Gattigny, cliquez ici.",Visite,,
63,https://www.tourisme-cambresis.fr/marche-noel-clos-bois-gattigny.html,Marché de Noël au Clos du Bois de Gattigny,"Le Clos du Bois de Gattigny organise son marché de Noël !

Cet ancien relais de chasse lové dans un écrin de verdure est le lieu idéal pour l’organisation d’un évènement privé ou professionnel.
Il accueillera son marché de noël, l'occasion de découvrir les lieux et quelques surprises ...

 

Pour les inscriptions exposants, rendez-vous sur notre site internet.

L’entrée est gratuite pour les visiteurs. Un parking privé est à votre disposition.

Pour suivre les actualités du CBG, abonnez-vous à la page : Clos du Bois de Gattigny

Besoin d'une information complémentaire ?
Rendez-vous dans la rubrique :
Contact de notre site internet : www.closduboisdegattigny.fr",Marché,Visite,
127,https://www.tourisme-cambresis.fr/navette-car-entree-coupe-file-noel-vaucelles.html,Navette en car + entrée coupe-file au Noël de Vaucelles,"Cambrésis Tourisme vous emmène dans la magie de Noël à Vaucelles.

Laissez-vous conduire, nous nous occupons de tout !

Au départ de l’Office de Tourisme le samedi 25 novembre à 14h notre car vous emmène à l’Abbaye de Vaucelles.

Sur place, pas d’attente, vous entrez directement et profitez en toute quiétude de cette après-midi exceptionnelle.

Vous serez de retour à Cambrai à 17h.

 

Tarif unique : 8€

Départ de  l’Office de Tourisme à 14h (arrivée à 14h30 à l’Abbaye de Vaucelles)

Rendez-vous à 16h30 devant votre car pour un retour à Cambrai à 17h.

 

Les places sont limitées, ne tardez pas à réserver ! 03.27.78.36.15 ou sur la billetterie en ligne",Visite,Marché,
64,https://www.tourisme-cambresis.fr/bal-country-caudry.html,Bal Country à Caudry,"Bal Country organisé par la GEA Caudry le samedi 25 Novembre 2023 à la Salle des Fêtes de Caudry, de 19h à Minuit.

Animation DJ GOGO.

Ouverture des portes à 18h30.

Buvette et restauration sur place.

Entrée : 4€.

Réservation au 06 80 48 13 29.",Danse,Détente,
129,https://www.tourisme-cambresis.fr/litteralement-caudry.html,Littéralement Caudry - 2ème édition,"Chères amies auteures, chers amis auteurs,

L'Office Municipal de la Culture de Caudry organisera ""Littéralement Caudry : le salon du livre et des auteurs"" le dimanche 3 décembre 2023 de 10h à 18h. Ce salon sera ouvert aux auteurs auto-édités ou édités en maison d'édition (il n'y aura aucun vendeur de livres d'occasion).

Une cinquantaine d'auteurs originaires des Hauts-de-France, mais aussi d'autres régions seront présents et vous feront découvrir leurs univers : polar, fantastique, feelgood, thriller, romance, fantasy, témoignages, poésie, sagas, terroir... Il y en aura pour tous les goûts et pour tous les amoureux des livres !

Le bulletin d'inscription et le règlement intérieur sont disponibles auprès des organisateurs, sur demande à l'adresse email suivante : omccaudry@gmail.com",Exposition,Culture,
65,https://www.tourisme-cambresis.fr/demonstration-taille-haies-libres.html,Démonstration de taille de haies libres,"Dans le cadre de l'Opération Plantons le décor, ateliers pour découvrir le monde de l'Arbre et se former à travers des stages et animations gratuites à destination des particuliers.

 

Démonstration de taille de haies libres en deux parties. Un premier temps en salle pour découvrir les différents types de haies et leur modes de gestion possibles, présentation du matériel. Un second temps sur le terrain afin d'assister à une mise en pratique.",Environnement,Atelier,
131,https://www.tourisme-cambresis.fr/buenos-aires-desire-dreams.html,BUENOS AIRES DESIRE | Dreams,"Buenos Aires Desire c’est tout l’esprit de l’Argentine. Tango Company Argentina est devenue la représentante la plus authentique d’un tango parfois ludique, dramatique, mais toujours sensuel. Ses danseurs sont devenus une référence culturelle de l’Argentine qui se produisent dans le monde entier.

Mouvements tourbillonnants, postures orgueilleuses, jeux de séduction, montrent l’ampleur des styles et la gamme des émotions du tango. La compagnie est née dans la ville de Buenos Aires avec la très forte intention de maintenir l’essence et l’élégance du tango argentin : le tango social et les milongas colorées, les changements culturels et l’immigration, la vie nocturne et ses péchés, l’évolution du genre et la redécouverte des traditions.

Ce spectacle nous invite à un voyage dans ce pays sud-américain à travers la danse et la musique passionnante qui l’incarne, et nous invite à une célébration passionnée du tango argentin.

 

Direction : Alejandro Ferreyra

Production:Tango Compagny Argentina et N.P. Spectacles",Spectacle,Danse,
66,https://www.tourisme-cambresis.fr/relais-flamme-olympique-cambrai.html,Relais de la Flamme Olympique à Cambrai,La ville de Cambrai accueillera le relais de la flamme de Paris 2024 le 2 juillet 2024.,Sport,Fête,Famille
133,https://www.tourismevalenciennes.fr/agenda/grande-brocante-4251901,Grande brocante - Valenciennes,"Grande brocante à Valenciennes

Dimanche 3 septembre de 8h à 17h – Parking Lacuzon

Restauration, buvette, manèges, wc

Comité de quartiers Vignoble 06.76.41.35.57",Brocante,,
67,https://www.tourismevalenciennes.fr/agenda/marche-bio-de-la-place-st-nicolas-4381934,Marché bio de la Place St Nicolas - Valenciennes,"Ce dimanche 3 septembre 2023 de 9h à 12h
Marché bio sur la Place Saint Nicolas 

(1er dimanche du mois)

Des petits nouveaux à découvrir pour les 10 ans pour l'occasion avec une tombola des producteurs et une animation ""naturo"" grâce à Jessica de Santé & Vitalité au naturel.",Marché,Gastronomie,Environnement
135,https://www.tourismevalenciennes.fr/agenda/brocante-de-la-cite-taffin-4375922,Brocante de la cité Taffin - Vieux-Condé,Le comité de la Cité Taffin de Vieux-Condé organise sa grande brocante le 3 septembre prochain 2023,Brocante,,
68,https://www.tourismevalenciennes.fr/agenda/concert-de-kroma-4383667,Concert de Kroma - Sebourg,"A l'occasion de ""Sebourg en fêtes"" 39ème édition, venez assister au concert du groupe pop-rock ""Kroma"" sur la Place de la Mairie le dimanche 3 septembre 2023 à 20h30.

Pour clôturer ce week-end de folie et vous faire danser !",Concert,,
137,https://www.tourismevalenciennes.fr/agenda/marche-campagnard-4367717,Marché campagnard - Vieux-Condé,"Terroir et artisanat

Marché campagnard le 3 septembre 2023 à Vieux-Condé de 10h à 17h

Vente, ateliers, animations...",Marché,Gastronomie,
69,https://www.tourismevalenciennes.fr/agenda/sebourg-en-fete-4359739,Sebourg en fête - Sebourg,"""Sebourg en fête"" édition 2023 

SAMEDI 2 SEPTEMBRE 2023 DE 09h30 à 23h00
Brocante de 12h à 20h
Restauration et buvette
Animations musicales, jeux, structures gonflables...
Concerts à partir de 20h

DIMANCHE 3 SEPTEMBRE 2023 DE 09h30 à 23h00
""Descente de la culbute""
Courses de caisses à savon",Brocante,Spectacle,Famille
139,https://www.tourismevalenciennes.fr/agenda/black-sheep-c-c-4378612,Black Sheep C & C - Saint-Saulve,"Un début de saison résolument musical, pour enchanter votre rentrée 2023... La MJC de Saint-Saulve vous offre deux groupes sur son plateau !

BLACK SHEEP SHEPHERD et C&C (Cabardos et Charlet)

Pour commencer cette nouvelle saison, la MJC vous propose de découvrir deux groupes musicaux, que nous avons eu le plaisir d’accompagner en résidence de création artistique, en 2022/2023...
Black Sheep Shepherd, révélé par le tremplin 2021 des Agîtés du Mélange, est le fruit de la rencontre entre Laurent guitariste et compositeur – Simon (batterie) – Johan (basse) et Léa (chant-guitare). Le résultat : un rock suave - des accents métal et des lignes mélodiques entêtantes - des textes anglophones, qui nous parlent d’une vision critique et militante du monde, qui sait toutefois rester optimiste...
C & C c’est le duo complice et fraternel,
Cabardos (Batterie-choeur)
et Charlet (Guitare-voix).

Forts de leurs belles expériences de musiciens, ils nous livrent ici leurs compos originales, dans un style rock’n balade. De la chanson française qui parle du quotidien, de camaraderie et du plaisir de vivre… Résolument optimiste et authentique !

Billetterie en ligne sur le lien indiqué.",Concert,,
70,https://www.tourismevalenciennes.fr/agenda/atelier-bol-tibetain-4375918,Atelier bol tibétain - Condé-sur-l'Escaut,"ATELIER DECOUVERTE 

Vivez un moment hors du temps en faisant une expérience de méditation douce, guidée et sonore au son des bols tibains, Koshi et les Ting sha.
Les vibrations peuvent atténuer le stress, l’angoisse, fatigue, douleur…. On favorise une paix intérieure, un bien-être et un meilleur sommeil.

Vendredi 08 septembre 2023 à 14h30
Public adulte

Apportez un tapis avec petit cousin si besoin + une bouteille d'eau

Inscriptions et renseignements au 03.27.20.36.40",Atelier,Détente,Santé
141,https://www.tourismevalenciennes.fr/agenda/les-chemins-de-la-forme-4381942,Les Chemins de la Forme - Anzin,"Inauguration des Chemins de la forme pendant le Forum des asso, le 9 septembre 2023 à Anzin !
 
La ville a travaillé pendant plusieurs mois avec l’IRFO (Institut des rencontres de la forme) pour concocter un circuit pédestre de 9,5 km qui sillonne notre territoire. Un concept qui allie pratique sportive et découverte du patrimoine anzinois !

Seul ou en famille, et quelle que soit votre pratique sportive (marche, marche nordique, course à pied…), parcourez la ville à votre rythme.

Tout au long du parcours, que vous pouvez faire en entier ou écourter selon vos envies, des panneaux sont disposés à chaque point d’intérêt. Des QR codes y renvoient vers des vidéos proposant des exercices de renforcement musculaire (abdos, gainage, fentes, montée d’escaliers…) ou des capsules audio présentant notre patrimoine (parc Mathieu, par cet château Dampierre, atelier des Mines, Cité du Moulin, théâtre…)

Pour découvrir le parcours, rendez-vous le 9 septembre 2023, à 14h, sur le Forum des Asso, dans le Parc Dampierre.",Sport,Balade,Famille
71,https://www.tourismevalenciennes.fr/agenda/rando-nocturne-a-querenaing-3788157,Rando nocturne 2023 à Quérénaing - Quérénaing,"Pour toute génération confondue, que vous soyez des marcheurs aguerris ou débutants et certains accompagnés de votre fidèle animal à quatre pattes , venez en famille, entre amis, à la 6ème édition de la Rando Nocturne organisée par le Groupe Rando Famille Quérénaingeoise, le Samedi 09 Septembre 2023.

Équipé de votre lampe torche ou frontale, vous sillonnerez sur 8 km, chemins et routes et vous admirerez le magnifique coucher de soleil sur les villages de Maing et de Quérénaing. Lorsque l'obscurité sera complète, votre imagination sera alors à son comble et la nature prendra une toute autre dimension avec ses parfums et ses bruits nocturnes. 

Nous vous attendons nombreux pour cette 6ème édition de la Rando Nocturne à 19h30 sous le préau de l'école Georges Pamart, pour un départ à 20h. 

2,50€ de participation par marcheur.",Sport,Balade,Famille
143,https://www.tourismevalenciennes.fr/tourisme-d-affaires-agenda/forum-des-associations-2023-2601272,Forum des Associations 2023 - Anzin,"Forum des assos édition 2023 à Anzin dans le parc du château Dampierre !

C'est l'évènement de la rentrée pour se trouver de nouvelles activités !

L'occasion de s'essayer à de nouveaux sports, de profiter de démos, ou de devenir bénévole en rencontrant les nombreuses associations de notre ville.

Rendez-vous le samedi 9 septembre 2023, de 12h à 19h !",Exposition,Sport,
72,https://www.tourismevalenciennes.fr/agenda/salon-du-jeu-de-societe-bruay-sur-l-escaut-3813843,A l'assaut de Bruay 12ème édition - Bruay-sur-l'Escaut,"Salon du jeu de société ""A l'assaut de Bruay"" 12ème édition 2023

La XIIème édition du salon du jeu À l'Assaut de Bruay se déroulera les 9 et 10 septembre 2023. 

Ce salon du jeu rassemble les passionnés et les associations ludistes du Valenciennois, et même au-delà !",Exposition,Jeu,
145,https://www.tourismevalenciennes.fr/agenda/fete-du-commerce-2022-3579823,Fête du Commerce 2023 - Valenciennes,"La fête du commerce 2023

Les 8, 9 et 11 septembre 2023 chez les commerçants participants

Brocante le 11 septembre place d’Armes

La Fête du Commerce à Valenciennes se déroulera du 8 au 11 septembre à Valenciennes.

Comme chaque année, c’est l’occasion pour les commerçants participants de pratiquer des prix cassés, de vider les stocks, c’est la fête des bonnes affaires, c’est la Fête du Commerce !

« Brocante Antiquités »

Cette Brocante-Antiquités réservée à des professionnels sera présente sur la Place d’Armes à Valenciennes.",Fête,Marché,
73,https://www.tourismevalenciennes.fr/agenda/expo-chasse-aux-tresors-uramado-ar-le-reveil-des-tanukis-4196686,Expo chasse aux trésors Uramado AR - le réveil des tanukis - Aulnoy-lez-Valenciennes,"Uramado AR est un parcours en réalité augmentée de l’artiste illustratrice Julie Stephen Chheng.

Cette exposition ludique et poétique nous invite à suivre des Tanukis, yokai (esprit) de la forêt emblématique de la culture folklorique japonaise.

Sous son aspect de petit animal malicieux la peau du ventre bien tendue, se cache une créature bien singulière !

Cette exposition pour petits et grands invite à questionner nos différences en créant une narration où le réel se mêle à l’imaginaire et se décline à l’infini.

Des Tanukis se sont installés dans 8 médiathèques. Allez-vous réussir à les trouver et répondre à leurs questions ?

Pour participer à cette chasse aux trésors, il suffit de se rendre dans l’une des médiathèques participantes et de télécharger l’application gratuite URAMADO AR, le réveil des Tanukis (sur iOS et Android).

Au fur et à mesure de la découverte, les esprits s’animent, s’étonnent et vous questionnent. En fonction de vos réponses, vous découvrirez à la fin du parcours, quel esprit êtes-vous !",Exposition,Jeu,
147,https://www.tourismevalenciennes.fr/agenda/free-to-play-4345677,Free to play - Valenciennes,"Free to play

Mercredis 6 septembre, 4 octobre, 8 novembre et 6 décembre, 10h-18h30

Entrée libre dans la limite des places disponibles, pas de réservation

Profitez à volonté des jeux vidéo de la programmation bimestrielle",Exposition,Jeu,
74,https://www.tourismevalenciennes.fr/agenda/retour-aux-sources-4111155,Retour aux sources ! - Valenciennes,"Retour aux sources !

Cycle de conférences 2023 autour des Archives de Valenciennes

Ayant traversé les siècles avec un bonheur que toutes n’ont pas connu dans la région , les Archives municipales de Valenciennes présentent un remarquable ensemble de sources dont les plus anciennes remontent au XIIIE siècle.

Programme complet des conférences en PDF joint.

Les Archives de Valenciennes proposent un cycle de conférences intitulé « Retour aux sources ». Tous les trois mois, un intervenant, historien, généalogiste, archiviste ou curieux, mettra l’accent sur un ou plusieurs documents qu’il a étudiés. Une autre façon d’aborder l’histoire locale en partant du matériau brut : l’archive.",Exposition,Histoire,Culture
149,https://www.tourismevalenciennes.fr/agenda/destination-g2084-fiction-sonore-en-5-episodes-3728246,Destination G2084 (fiction sonore en 5 épisodes) - Valenciennes,"Un podcast d’anticipation au coeur du Valenciennois

Destination G2084 est une fiction sonore de 40 minutes en cinq épisodes.

A écouter sur toutes les plateformes de podcast et sur le site www.destinationg2084.com
Gratuitement (Spotify, Apple podcast, Google Podcast, Podcast Addict, Deezer,...)
Sur les cinq lieux emblématiques via un QR code apposé sur des affiches.

Une série audio en 5 épisodes de 6 à 8 minutes, à écouter en commençant par le prologue, puis dans l’ordre de son choix, pour finir par l’ épilogue.",Balade,,
75,https://www.tourismevalenciennes.fr/agenda/visite-guidee-bibliotheque-des-jesuites-641523,Visite guidée bibliothèque des Jésuites - Valenciennes,"La salle des Jésuites :
une somptueuse bibliothèque d’étude

La salle des Jésuites est l’une des rares bibliothèques à n’avoir subi aucune modification depuis sa création.
Richement décorée, l’harmonie de ses lignes et de ses couleurs invite à l’étude. 

Accès sur demande le mardi et le jeudi de 14h à 18h, le mercredi et vendredi de 10h à 12h et de 14h à 18h, le samedi de 10h à 18h.

Les horaires des visites guidées des samedis restent inchangés : 11h et 14H30, sans réservation.",Visite,Histoire,
151,https://www.tourismevalenciennes.fr/agenda/dans-la-roue-des-champion-ne-s-a-velo-ou-a-pieds-4345607,"""Bon plan vacances"" Journée à vélo ou à pieds et Café Rando - Aulnoy-lez-Valenciennes","L'office de Tourisme vous propose une idée ""Journée vacances sans voitures"" à faire en toute autonomie au départ du café-rando d'Aulnoy-lez-Valenciennes : ""Symbiose, le lieu du temps pour soi"".

Une idée ""journée vacances"" facile à organiser et planifier par vous même :

Un nouveau circuit est disponible depuis cet été au départ du café rando ""Symbiose"" situé au 14 Rue Henri Turlet, Aulnoy-Lez-Valenciennes. son nom : Dans la roue des Champion(ne)s. 
24 km à parcourir à vélo comme son nom l'indique, mais qu'il est également possible de réaliser à pieds. 

>>> Le circuit est disponible avec un guidage GPS audio sur l'Application gratuite JOOKS. Simple d’utilisation, cette application est disponible gratuitement depuis tous les téléphones disposant d'un accès internet.

Une seconde option existe : Vous laisser guider par le circuit en ligne sur le site de l'Office de Tourisme. le lien est disponible directement sur cette fiche.

EN PRATIQUE :

""A pieds"", pour une journée randonnée pédestre >>> La commune d'Aulnoy est accessible en Tramway (direction Famars Université). Descendre selon votre choix aux arrêts : Jules Chevalier ou Chemin vert, puis rejoindre en moins de 15 minutes à pieds le centre du village. Le café rando se situe en face de l'Hôtel de ville.

HORAIRES PERIODE ESTIVALE DU CAFE RANDO SYMBIOSE

Fermé le dimanche et le lundi
vendredi	10:00–18:00
samedi	09:00–18:00
mardi	10:00–18:00
mercredi	10:00–18:00
jeudi	10:00–18:00",Balade,Sport,Environnement
76,https://www.tourismevalenciennes.fr/agenda/1015eme-tour-du-saint-cordon-1956573,1015ème Tour du Saint-Cordon - Valenciennes,"Le 1015ème tour du Saint-Cordon le 10 septembre 2023

Programme :

8h30 : Messe solennelle en plein air place du Musée, présidée par Monseigneur Bruno Feillet, évêque de Séez concélébrée par Monseigneur Vincent Dollmann, archevêque de Cambrai
Remise officielle du label « Patrimoine Culturel Immatériel en France »

10h : « Tour en ville », sous la forme habituelle d’une procession de la statue de Notre-Dame du Saint-Cordon, portée par les valenciennois et leurs élus, qui reprendra intégralement le parcours traditionnel en ville depuis la place du Musée, en passant par la basilique Notre-Dame du Saint-Cordon, la Sous-Préfecture, l’église Saint-Géry, la place d’Armes jusqu’à l’école Saint Jean-Baptiste de Lasalle.

12h : 1015ème grand tour du Saint-Cordon
Départ Ecole Marie Immaculée – rue de Famars place du Canada

17h30 : procession dite de « Rentrée en ville » place du Canada",Culture,Fête,
153,https://www.tourismevalenciennes.fr/agenda/jeux-en-grand-street-fighter-6-4345678,Jeux en grand – Street Fighter 6 - Valenciennes,"Jeux en grand – Street Fighter 6

Mercredi 13 septembre à 16h
Durée : 1h30

Entrée libre dans la limite des places disponibles, pas de réservation

Street Fighter 6 mérite bien un grand écran : venez prouver votre talent manette en main et impressionnez la galerie sur ce jeu de combat dans une ambiance cartoon.",Jeu,Exposition,
77,https://www.tourismevalenciennes.fr/agenda/duo-bert-begar-4373296,Duo Bert Begar - Saint-Saulve,"""Duo Bert Begar"", un concert fantaisiste et poétique, que la MJC vous propose en collaboration avec le Printemps Culturel le 15 septembre 2023 à l'Espace Athéna de Saint-Saulve... 

Une pépite ! A ne pas manquer !",Concert,,
155,https://www.tourismevalenciennes.fr/tourisme-d-affaires-agenda/visite-guidee-de-la-mediatheque-4371543,Visite guidée de la médiathèque - Anzin,"Visites guidées de la médiathèque

(Evènement dans le cadre des Journées du Patrimoine 2023)

Savez-vous ce que font vos bibliothécaires préférés quand les portes sont fermées ? Savez-vous ce qu’il se passe derrière ses portes ? Connaissez-vous tous les coins et recoins de votre médiathèque ?

Si vous avez répondu « non » à une de ces questions, alors les visites guidées « très insolites » de Sylvie Koinssé et Greg Djones sont faites pour vous….

Samedi 16 septembre à 11h ou 15h (au choix)

Sur inscription à partir du 23 août (places limitées, priorité aux adhérents de la médiathèque et aux Anzinois)",Visite,Culture,
78,https://www.tourismevalenciennes.fr/agenda/tresors-des-bords-de-terrils-apero-porion-4367751,"JEP 2023: Trésors des bords de terrils & apéro ""Porion"" - Anzin","Trésors des bords de Terrils & Apéro « Porion » 

Samedi 16 Septembre - Anzin

Voici une visite « décou’verte » des terrils de la Bleuse Borne avec la complicité de Sophie et Pierre-André, guides nature et propriétaires de la chambre d’Hôte Le haut du Pavé, située à quelques mètres de ces géants néo-naturels Anzinois. En parallèle, David, votre guide de l’Office de Tourisme vous accompagne pas à pas dans la traversée des cites minières du Moulin et du Mont de la veine ; authentique exemples du patrimoine vivant du Bassin minier Patrimoine mondial. Pour finir sur une note gourmande, le groupe est invité à la dégustation d’un amuse bouche à base de poireaux des Hauts de France à la table de Sophie et Pierre-André.

Samedi 16 septembre à Anzin
16h30 (Durée : 2h00). Boucle de 4 km.
Départ : Place du Général de Gaulle à Anzin
Gratuit - Jauge limitée. 
Réservation sur www.tourismevalenciennes.fr",Visite,Balade,Gastronomie
